chunk,season,n,chunk_min_date,chunk_max_date,train_max_date,xfg_log_loss,xfg_brier,xfg_auc,xfg_frozen_log_loss,xfg_frozen_brier,xfg_frozen_auc,xfg_zone_log_loss,xfg_zone_brier,xfg_zone_auc
85,2025-26,9855,20251229,20260104,20251228,0.6394215822219849,0.22531723976135254,0.660096933661673,0.6416186094284058,0.22634974122047424,0.6528167513047937,0.6621468460735801,0.23464108449841722,0.6355942351323226
86,2025-26,9874,20260105,20260111,20260104,0.6401016116142273,0.22554291784763336,0.6538719745938587,0.6423444151878357,0.2266031950712204,0.6453589509722277,0.6583608533169127,0.2328524563525142,0.6353201089542768
87,2025-26,8856,20260112,20260118,20260111,0.6396703720092773,0.22520750761032104,0.6592509556826815,0.6421880722045898,0.22634978592395782,0.6530943590928484,0.6584824357108011,0.23281174847639172,0.639201730526046
88,2025-26,9066,20260119,20260125,20260118,0.6398037672042847,0.2252073436975479,0.6557195198291417,0.6412523984909058,0.22590166330337524,0.650095553515061,0.6577592671834808,0.23237760035176655,0.6345757461145946
89,2025-26,9926,20260126,20260201,20260125,0.6385782361030579,0.22490644454956055,0.6551687048014607,0.6416067481040955,0.22633099555969238,0.6459729950627815,0.6597464787592239,0.23351584156510205,0.6271867982033188
90,2025-26,8718,20260202,20260208,20260201,0.6354912519454956,0.22338201105594635,0.6597519412149474,0.6392548084259033,0.22514870762825012,0.647669961808706,0.6573648996142885,0.23234862474911083,0.6416869843647797
91,2025-26,5464,20260209,20260212,20260208,0.6355034708976746,0.22365009784698486,0.6680235950132144,0.6371254324913025,0.22443218529224396,0.6613267355481889,0.6568410765506699,0.23198019952684082,0.6459334494801623
92,2025-26,6441,20260219,20260222,20260212,0.6427562236785889,0.22648486495018005,0.6533185379050426,0.6461066007614136,0.22798249125480652,0.6427719272684154,0.6616813242403262,0.23447926068740352,0.630215834098486
93,2025-26,9082,20260223,20260301,20260222,0.640134871006012,0.2254466563463211,0.6592860784394442,0.642946720123291,0.22678199410438538,0.6493021523555874,0.6592085821696979,0.233278414076706,0.6372510997077271
94,2025-26,9087,20260302,20260308,20260301,0.6269522905349731,0.21979472041130066,0.6694863882866773,0.6295598745346069,0.22104549407958984,0.6624909262547328,0.6526516269833401,0.23004446470072476,0.645580337516547
95,2025-26,9420,20260309,20260315,20260308,0.6465165615081787,0.22797441482543945,0.6554969838701284,0.6493567824363708,0.22926805913448334,0.642404359430605,0.660089080925639,0.23361507597188413,0.6384015234410008
96,2025-26,9560,20260316,20260322,20260315,0.6373385787010193,0.2241823822259903,0.6638273860563635,0.6395571827888489,0.22518238425254822,0.6562177648569629,0.6584017518766409,0.2327857541925882,0.6395605686000689
97,2025-26,9558,20260323,20260329,20260322,0.6411201357841492,0.22574594616889954,0.6634191779116796,0.6430748701095581,0.2267201542854309,0.6555109913902675,0.6596994967701375,0.2334153892964222,0.6405146554792154
98,2025-26,9435,20260330,20260405,20260329,0.6394113898277283,0.22533762454986572,0.6597816583358275,0.6409873962402344,0.22609174251556396,0.6526172985842746,0.6607687534594763,0.23394260205337564,0.6374567096383414
99,2025-26,10437,20260406,20260412,20260405,0.6368123888969421,0.2240736335515976,0.6653415698663713,0.6384595632553101,0.22481553256511688,0.6616513916395301,0.6568724390075291,0.23210714197361454,0.6432067365868142
